| rawScan | offset | physLabel | NONE hex | NONE dec | 2nd hex | 2nd dec | ALPHA hex | ALPHA dec | 2ndALPHA hex | 2ndALPHA dec |
| 0x36 | 31 | PRGM | 0x2D | '-' | 0x3A | ':' | 0x99 | tok:0x99 | 0xFA | tok:0xFA |
| 0x37 | 32 | STAT | 0x31 | '1' | 0x3E | '>' | 0xB2 | tok:0xB2 | 0xF5 | tok:0xF5 |
| 0x40 | 33 | 0 | 0x8E | tok:PRGM | 0xF3 | tok:0xF3 | 0xAD | tok:0xAD | 0xF0 | tok:0xF0 |
| 0x41 | 34 | 1 | 0x8F | tok:VARS | 0xF6 | tok:0xF6 | 0xA8 | tok:0xA8 | 0xEB | tok:0xEB |
| 0x42 | 35 | 4 | 0x92 | tok:STAT | 0xF9 | tok:0xF9 | 0xA3 | tok:0xA3 | 0xE6 | tok:0xE6 |
| 0x43 | 36 | 7 | 0x95 | tok:0x95 | 0x98 | tok:0x98 | 0x9E | tok:0x9E | 0xE3 | tok:0xE3 |
| 0x44 | 37 | , | 0x8B | tok:Ans | 0xB8 | tok:0xB8 | 0x9B | tok:0x9B | 0xB4 | tok:0xB4 |
| 0x45 | 38 | SIN | 0xB7 | tok:0xB7 | 0x39 | '9' | 0x13 | tok:0x13 | 0x00 | NONE |
| 0x46 | 39 | APPS | 0x2C | ',' | 0x41 | 'A' | 0x00 | NONE | 0xF9 | tok:0xF9 |
| 0x47 | 40 | X,T,theta,n | 0xB4 | tok:0xB4 | 0x00 | NONE | 0xB1 | tok:0xB1 | 0xF4 | tok:0xF4 |
| 0x50 | 41 | key0x50 | 0x00 | NONE | 0x0C | [*] | 0xAC | tok:0xAC | 0xEF | tok:0xEF |
| 0x51 | 42 | STO-> | 0x8A | tok:STO | 0xC0 | tok:0xC0 | 0xA7 | tok:0xA7 | 0xEA | tok:0xEA |
| 0x52 | 43 | LN | 0xBF | tok:0xBF | 0xC2 | tok:0xC2 | 0xA2 | tok:0xA2 | 0xE5 | tok:0xE5 |
| 0x53 | 44 | LOG | 0xC1 | tok:0xC1 | 0xBE | tok:0xBE | 0x9D | tok:0x9D | 0xE2 | tok:0xE2 |
| 0x54 | 45 | x^2 | 0xBD | tok:0xBD | 0x37 | '7' | 0x9A | tok:0x9A | 0x00 | NONE |
| 0x55 | 46 | x^-1 | 0xB6 | tok:0xB6 | 0x33 | '3' | 0x00 | NONE | 0x44 | 'D' |
| 0x56 | 47 | MATH | 0x32 | '2' | 0x00 | NONE | 0x44 | 'D' | 0x5A | 'Z' |
| 0x57 | 48 | ALPHA | 0x00 | NONE | 0x4A | 'J' | 0x5A | 'Z' | 0x2E | '.' |
| 0x60 | 49 | GRAPH | 0x44 | 'D' | 0x3B | ';' | 0x2E | '.' | 0x48 | 'H' |
| 0x61 | 50 | TRACE | 0x5A | 'Z' | 0x57 | 'W' | 0x48 | 'H' | 0x49 | 'I' |
| 0x62 | 51 | ZOOM | 0x2E | '.' | 0x4B | 'K' | 0x49 | 'I' | 0x00 | NONE |
| 0x63 | 52 | WINDOW | 0x48 | 'H' | 0x30 | '0' | 0x00 | NONE | 0x45 | 'E' |
| 0x64 | 53 | Y= | 0x49 | 'I' | 0x00 | NONE | 0x45 | 'E' | 0x0A | [+] |
| 0x65 | 54 | 2ND | 0x00 | NONE | 0x40 | '@' | 0x0A | [+] | 0x3D | '=' |
| 0x66 | 55 | MODE | 0x45 | 'E' | 0x0B | [-] | 0x08 | tok:0x08 | 0x62 | 'b' |
| 0x67 | 56 | DEL | 0x0A | [+] | 0x08 | tok:0x08 | 0x02 | tok:0x02 | 0x11 | [,] |
